N ,Parameter 1,Parameter 2,Parameter 3,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Parameter 9,Parameter 10,Parameter 11,Parameter 12,Parameter 13,Parameter 14,Parameter 15,Parameter 16,Parameter 17,Parameter 18,Parameter 19,Parameter 20,Parameter 21,Parameter 22,Parameter 31,Parameter 32,Parameter 33,Parameter 34,Parameter 35,Parameter 36,Parameter 37,Parameter 38,Parameter 39,Populations
95,0.47089,1.767682,0.528054743,6.448403688,2.62,14.41,1.31,13.1,0.37415731,23.06721324,3.392375286,0,0,0,0,0,,,,,0.03255,4,3,4,13.73286004,13.73286004,0,0,0,0,stim
98,0.47089,2.218174,0.831499302,6.364134705,5.24,7.86,2.62,5.24,0.263483137,14.98672971,2.30855816,0,0,0,0,0,,,,,0,4,1,4,13.00552529,13.00552529,0,0,0,0,stim
2,26.808228,60.630704,10.91207267,6.888872877,3.93,7.86,2.62,5.24,0.33942166,17.15267215,2.52704044,0.034303187,0,0,0.034303187,0,0,0,1,0,0.739610212,9,1,4,0,0,0,0,0,0,Control
9,10.282608,38.889848,11.70467469,4.148461306,3.93,5.24,2.62,2.62,0.197399557,8.611798817,1.33428069,0.043713182,0,0.043713182,0,0,0,1,0,0,0.555915129,6,1,4,0,0,0,0,0,0,Control
11,1.387336,7.646306,3.353604382,2.717430052,3.93,24.89,5.24,18.34,0.728097737,32.57594499,24.27058919,0,0,0,0,0,,,,,0,2,1,6,12.88532017,12.88532017,0,0,0,0,Control
14,1.83618,9.896586,4.244687176,2.084927699,5.24,15.72,7.86,7.86,0.384515375,16.8181222,7.588288604,0.064953885,0,0.026325815,0.031894737,0.006733333,0,0.405300078,0.491036633,0.103663289,0.644830576,2,1,3,14.22774206,14.22774206,0,0,0,0,Control
28,1.509748,7.512582,2.974843503,3.409886804,6.55,15.72,10.48,5.24,0.526308239,25.57429349,2.981095096,0.319660684,0,0.043766667,0.058355556,0.217538462,0,0.136916014,0.182554685,0.680529301,0.412805128,2,1,3,2.11116271,1.86234798,0.085755819,0.011507402,0,0,Control
45,0.40804,2.479146,1.198647833,4.141992733,2.62,14.41,3.93,10.48,0.300531924,14.89859183,2.775397551,0,0,0,0,0,,,,,0,2,1,4,14.23204328,14.23204328,0,0,0,0,Control
49,0.856884,4.40865,1.805008893,7.013945311,2.62,7.86,2.62,5.24,0.109422505,7.013945311,0.818858558,0,0,0,0,0,,,,,0,4,1,2,0,0,0,0,0,0,Control
53,1.264924,5.788512,2.107946475,3.891484012,3.93,5.24,2.62,2.62,0.126286909,7.383641584,1.627360192,0,0,0,0,0,,,,,0,2,2,3,22.68343977,22.68343977,0,0,0,0,Control
69,0.530452,2.763158,1.145395527,6.039980325,2.62,6.55,3.93,2.62,0.205810159,10.66799982,0.770933163,0,0,0,0,0,,,,,0,3,2,4,13.09265458,13.09265458,0.025719033,0.044488001,0,0,Control
77,0.489648,3.083934,1.545668304,2.814050885,2.62,3.93,1.31,2.62,0.143173754,4.023066677,1.189504285,0,0,0,0,0,,,,,0.0404,3,1,6,0.726977213,0.638780087,0,0,0,0,Control
79,0.40804,2.669632,1.389921254,4.985062073,2.62,3.93,1.31,2.62,0.10744682,5.88451945,0.726956828,0,0,0,0,0,,,,,0,2,1,4,14.34768901,14.34768901,0,0,0,0,Control
95,0.40804,2.497528,1.216488839,4.929392539,1.31,2.62,1.31,2.62,0.143085107,6.893129971,0.966565477,0,0,0,0,0,,,,,0,3,2,2,12.93431096,12.93431096,0,0,0,0,Control
1,31.133452,61.223978,9.580892067,4.833701344,7.86,23.58,2.62,19.65,0.632560492,27.44849651,6.523989311,12.43932924,1.29706235,4.430162663,0.207941176,6.504163049,0.104271084,0.356141604,0.01671643,0.522870882,0.929476401,3,1,4,0.10707748,0,0.2060602,20.68844408,0.2060602,0,Control
5,6.202208,18.12748,4.216175482,4.122287411,3.93,10.48,7.86,2.62,0.461436182,17.14744661,0.969162067,0.165805456,0.100153343,0.028278949,0.010666232,0.026706932,0.604041298,0.170554995,0.064329801,0.161073905,0.040918434,7,3,2,0,0,0.098908896,0.074181672,0,0.074181672,Control
8,5.753364,22.11193,6.762722797,4.076634431,5.24,9.17,3.93,5.24,0.328127384,14.20255271,2.846149893,0.706732821,0,0.142953846,0.161041475,0.4027375,0,0.202274243,0.227867548,0.56985821,0.004909722,7,3,4,0,0,0,1.631996784,0,0,Control
10,5.345324,19.642682,5.744042876,4.003020391,2.62,6.55,3.93,2.62,0.370594442,8.095420409,0.883087642,1.098404097,0,0.738218182,0.360185915,0,0,0.672082509,0.327917491,0,0,6,3,6,2.571425748,0.28567114,0,0,0,0,Control
15,1.917788,11.411788,5.403770912,5.021091434,5.24,14.41,7.86,6.55,0.362947047,17.52621918,2.842740335,0.05928574,0.019803922,0,0,0.039481818,0.334041907,0,0,0.665958093,0.066134438,3,1,4,11.55468251,11.55468251,0,0,0,0,Control
16,3.345928,15.31261,5.576632016,6.649513848,5.24,5.24,2.62,2.62,0.290088236,16.13727175,1.088581087,0,0,0,0,0,,,,,0,4,1,4,15.03102618,15.03102618,0,0,0,0,Control
19,1.63216,8.177566,3.260434813,4.608811555,13.1,15.72,9.17,6.55,0.788962841,35.49493307,2.923443633,0.028734795,0,0.013584795,0,0.01515,0,0.472764645,0,0.527235355,0.021883333,4,2,3,5.610236575,5.572418147,0,0,0,0,Control
21,2.366632,8.476526,2.415990379,5.237813511,2.62,7.86,1.31,6.55,0.224137947,9.279307707,1.173567799,0.387526738,0.034026738,0.187571429,0.165928571,0,0.087804878,0.484021901,0.428173221,0,0.260875074,4,2,4,5.600619076,5.572418147,0,0,0,0,Control
22,0.489648,2.213516,0.796290404,2.785235075,3.93,28.82,26.2,2.62,0.912677348,30.95393215,1.090198403,0,0,0,0,0,,,,,0,1,1,6,4.270089309,4.2468068,0.049454448,0,0,0,Control
24,0.81608,3.61176,1.272023601,3.005885415,3.93,7.86,2.62,5.24,0.205053195,8.354864233,2.403175302,0.009619048,0,0,0.009619048,0,0,0,1,0,0.138193651,1,1,4,2.828,2.828,0,0,0,0,Control
25,0.938492,4.53894,1.746901609,8.718167754,6.55,14.41,1.31,13.1,0.804579079,52.97740114,9.042594626,0.053713636,0.01515,0,0,0.038563636,0.282051282,0,0,0.717948718,0.132261905,2,2,4,4.88771541,4.856409373,0.009849982,0,0,0,Control
31,0.734472,3.822244,1.582893542,3.276480779,6.55,23.58,15.72,7.86,0.747044861,33.82492268,2.455143312,0.611611111,0.269333333,0,0,0.342277778,0.440366972,0,0,0.559633028,0,4,2,6,6.486460413,6.143590156,0.309664489,0,0,0,Control
32,0.571256,2.176752,0.660050654,7.325528334,6.55,15.72,10.48,5.24,0.728343546,41.28678703,3.247918377,0,0,0,0,0,,,,,0,2,2,4,4.728698764,4.728698764,0,0,0,0,Control
34,1.060904,4.259978,1.36122138,4.691789364,2.62,7.86,3.93,3.93,0.211333901,8.840375586,1.532783762,0,0,0,0,0,,,,,0,4,1,3,1.01,1.01,0,0,0,0,Control
36,0.489648,2.101608,0.71781012,3.489730176,2.62,11.79,6.55,5.24,0.368351042,18.49587965,1.597616347,0,0,0,0,0,,,,,0,2,2,3,7.531364303,7.498527322,0.082985601,0,0,0,Control
37,0.734472,3.04717,1.006023811,3.760957002,2.62,5.24,1.31,3.93,0.166666687,9.05080059,0.688043441,0,0,0,0,0,,,,,0,1,1,4,1.470582198,1.470582198,0,0,0,0,Control
48,0.734472,3.70872,1.490263225,5.009207131,2.62,3.93,1.31,2.62,0.109929085,6.482779578,0.80724915,0,0,0,0,0,,,,,0,3,3,4,1.087803291,1.087803291,0,0,0,0,Control
52,0.367236,2.11999,0.973895844,5.422500767,6.55,20.96,13.1,7.86,0.517139435,32.43948646,4.640727927,0,0,0,0,0,,,,,0,5,2,4,3.199440598,3.16180012,0.050284096,0.030677272,0,0,Control
57,0.652864,2.763158,0.930633866,3.836694648,3.93,6.55,1.31,5.24,0.157579795,7.194991241,2.347076895,0,0,0,0,0,,,,,0,2,1,3,13.2182725,13.2182725,0,0,0,0,Control
58,0.81608,4.333506,1.831201797,3.91663743,2.62,3.93,1.31,2.62,0.111170217,4.968998255,0.943884097,0,0,0,0,0,,,,,0,3,3,4,1.818,1.818,0,0,0,0,Control
61,0.530452,2.343806,0.824114145,3.523881839,2.62,3.93,1.31,2.62,0.213584289,6.389696416,0.964570257,0,0,0,0,0,,,,,0,1,1,2,3.291697272,3.155340869,0.040139729,0.046537508,0,0,Control
62,0.448844,2.856684,1.446835368,4.274876719,2.62,9.17,5.24,3.93,0.137814313,7.657937999,1.252118102,0,0,0,0,0,,,,,0,5,2,3,2.982494258,2.982494258,0,0.055829348,0,0,Control
64,1.142512,5.051818,1.777562001,3.795906884,2.62,5.24,2.62,2.62,0.160904273,5.905499899,0.642109867,0.043766667,0.043766667,0,0,0,1,0,0,0,0.220786291,2,2,5,6.595230398,6.595230398,0,0,0,0,Control
66,0.571256,2.213516,0.682534632,7.022902234,2.62,5.24,1.31,3.93,0.152355611,11.82343249,1.572056289,0,0,0,0,0,,,,,0,2,2,2,5.494994086,5.494994086,0,0,0,0,Control
3,27.175464,33.303336,3.247795277,8.855302621,2.62,3.93,1.31,2.62,0.507779062,15.26702493,1.237129595,4.425996092,0.84562306,0.558628319,0.719854545,2.301890168,0.191058248,0.126215276,0.162642382,0.520084094,0.693419087,5,1,4,0,0,0,0,0,0,Control
4,17.13768,37.031852,6.367793494,3.509202311,3.93,9.17,2.62,5.24,0.400379926,10.54028765,3.005527549,14.88788736,4.787121988,0.669973227,0.024357287,9.406434857,0.321544748,0.045001229,0.001636047,0.631817976,0.190319728,2,1,1,1.329788453,0.728321358,5.650623542,6.072546056,0,0,Control
6,10.486628,27.32757,5.667040346,3.504226912,2.62,6.55,2.62,3.93,0.219368339,5.845038018,1.174904194,0.100267988,0.03865792,0.061610068,0,0,0.385545983,0.614454017,0,0,0.307483445,15,2,1,0,0,0,0,0,0,Control
7,12.118788,40.902576,10.98581467,3.878431726,2.62,6.55,2.62,3.93,0.239934802,6.870264773,1.573865195,0.537999975,0.392427083,0.007277441,0.116138702,0.022156748,0.729418405,0.013526843,0.215871204,0.041183548,0,16,2,6,0,0,0,0,0,0,Control
12,1.142512,6.341588,2.801079354,2.992848407,7.86,45.85,6.55,39.3,1.179901361,38.02302496,30.09092706,0.092963947,0.039709402,0,0,0.053254545,0.427148405,0,0,0.572851595,0,4,3,3,2.15877252,1.86234798,0,0,0,0,Control
17,4.447636,20.232522,7.324212594,2.605793321,5.24,13.1,2.62,10.48,0.288161278,7.660213295,3.337215345,0,0,0,0,0,,,,,0,15,1,3,0,0,0,0,0,0,Control
18,1.999396,8.476526,2.859743714,4.577950658,3.93,6.55,2.62,3.93,0.196699962,8.649937047,1.144074251,0,0,0,0,0,,,,,0,3,1,4,1.212,1.212,0,0,0,0,Control
20,1.346532,5.73175,1.941547127,4.247453671,5.24,13.1,5.24,6.55,0.487749875,17.27694496,4.838412639,0,0,0,0,0,,,,,0,4,1,1,1.414,1.414,0,0,0,0,Control
29,1.060904,7.41744,4.126882777,1.986741464,3.93,5.24,1.31,3.93,0.15486908,3.974442007,1.809620881,0,0,0,0,0,,,,,0,7,3,4,0.28567114,0.28567114,0,0,0,0,Control
30,1.0201,5.451172,2.318073271,4.964914067,3.93,6.55,2.62,3.93,0.320638299,13.06052553,1.425769738,0,0,0,0,0,,,,,0,4,2,2,1.01,1.01,0,0,0,0,Control
33,0.652864,3.179076,1.231882357,4.28373628,9.17,26.2,10.48,15.72,1.136303306,32.63239348,7.015010317,0,0,0,0,0,,,,,0.0404,6,3,3,0.482548585,0.451685731,0,0,0,0,Control
35,0.571256,2.935262,1.200198572,2.332776071,2.62,6.55,1.31,5.24,0.706687033,9.222206043,1.87450671,0,0,0,0,0,,,,,0,4,1,2,0,0,0,0,0,0,Control
38,1.183316,7.044952,3.337685992,4.75643436,2.62,5.24,2.62,2.62,0.135913432,7.201391158,0.847576359,0,0,0,0,0,,,,,0.200396825,4,1,3,4.144693475,4.144693475,0,0,0,0,Control
39,0.979296,5.3025,2.284743812,4.655987232,3.93,7.86,1.31,6.55,0.208333328,8.704485687,1.886551814,0,0,0,0,0,,,,,0.207611111,4,2,2,1.01,1.01,0,0,0,0,Control
40,0.40804,2.231898,0.971484964,3.001089166,2.62,18.34,7.86,10.48,0.881382942,23.98035178,7.630142336,0,0,0,0,0,,,,,0,4,1,6,2.236500149,2.147289454,0,0,0,0,Control
41,0.81608,3.900822,1.48378053,2.559053526,3.93,5.24,1.31,3.93,0.306117058,6.728457906,1.555669886,0.047220779,0,0.018363636,0,0.028857143,0,0.388888889,0,0.611111111,0.085128571,4,3,4,1.428355698,1.428355698,0.019216123,0.065291995,0,0,Control
42,0.693668,2.893448,0.960439116,2.522682978,7.86,23.58,10.48,13.1,0.852941215,20.12290877,7.841220305,0.082636364,0,0,0.082636364,0,0,0,1,0,0.11630303,6,3,3,2.344114654,2.147289454,0.096400989,0.057498403,0,0,Control
44,0.367236,2.442382,1.292623565,2.425820865,3.93,14.41,2.62,11.79,0.697990656,12.73304931,7.858204207,0,0,0,0,0,,,,,0,6,3,4,2.147289454,2.147289454,0,0,0,0,Control
47,0.856884,4.333506,1.744001711,3.250420198,3.93,10.48,2.62,7.86,0.277102351,8.96924269,2.718558936,0,0,0,0,0,,,,,0,4,3,6,1.806742926,1.806742926,0,0,0,0,Control
51,1.101708,6.187866,2.765702318,2.958553932,5.24,6.55,2.62,3.93,0.249211997,7.438370769,2.360944271,0,0,0,0,0,,,,,0,7,3,6,0,0,0,0,0,0,Control
55,0.652864,3.120698,1.187055159,5.021678024,2.62,5.24,2.62,2.62,0.218085125,8.756689254,1.094957239,0,0,0,0,0,,,,,0,4,1,2,2.747497043,2.747497043,0,0,0,0,Control
60,0.571256,2.763158,1.063581561,2.33699555,2.62,6.55,1.31,5.24,0.323328286,5.776259355,0.946120045,0.013466667,0.013466667,0,0,0,1,0,0,0,0.068369231,6,3,4,1.85844771,1.714026838,0,0,0,0,Control
4,17.13768,37.031852,6.367793494,3.509202311,3.93,9.17,2.62,5.24,0.400379926,10.54028765,3.005527549,14.88788736,4.787121988,0.669973227,0.024357287,9.406434857,0.321544748,0.045001229,0.001636047,0.631817976,0.190319728,2,1,1,0.438959629,0,0.395635584,0.214302608,0.395635584,0,Control
23,2.366632,12.278772,5.069548402,2.988513046,5.24,31.44,3.93,27.51,0.632611871,15.28509484,13.39227728,0.596761655,0.266771739,0.19382381,0.093785714,0.042380392,0.447032307,0.324792667,0.157157742,0.071017284,0.02525,2,1,4,0,0,0,0,0,0,Control
2,34.6834,85.774856,16.88062284,6.041103379,5.24,6.55,1.31,5.24,0.395904094,16.3835098,3.120232555,20.31072603,7.030186719,2.179843478,2.689691074,8.411004762,0.346131729,0.107324744,0.132427126,0.414116401,3.260237601,2,1,3,0.707,0,46.19869684,12.8746413,46.19869684,6.231260448,stim
8,8.691252,38.301624,13.43204601,3.405519525,3.93,5.24,1.31,3.93,0.178060174,6.027147888,1.590154827,2.556679463,0.984967975,0,1.571711488,0,0.385252821,0,0.614747179,0,0.589721215,5,1,9,0.431472189,0,0,0,0,0,stim
10,1.0201,5.847092,2.667025959,3.306506474,11.79,52.4,24.89,27.51,1.340975404,67.36733118,28.16562422,0.992855462,0,0.069426891,0.923428571,0,0,0.069926483,0.930073517,0,0.040569748,4,2,7,14.94389144,14.79572438,0.299822381,0.049309216,0,0,stim
12,5.386128,27.589766,11.24629575,3.399425544,2.62,5.24,1.31,3.93,0.143385053,5.116509604,1.479985298,0.959359714,0.293966276,0.013903481,0,0.651489957,0.306419241,0.014492459,0,0.6790883,0.371150009,5,1,1,0,0,0,0,0,0,stim
17,0.530452,2.572672,0.992916858,5.401224087,5.24,53.71,43.23,10.48,1.674014926,88.74914238,9.897864243,0.2525,0,0.202,0.0505,0,0,0.8,0.2,0,0,2,1,7,18.25539154,18.0504831,0.118906534,0,0,0,stim
18,2.489044,13.625304,5.935399608,3.013258655,2.62,7.86,3.93,3.93,0.21241504,7.36794784,1.45582897,0,0,0,0,0,,,,,1.968377778,5,1,8,15.63662057,15.03509761,0,0,0,0,stim
21,3.26432,18.531884,8.37214143,3.070494368,3.93,6.55,2.62,3.93,0.135899395,6.357878328,1.69803426,0,0,0,0,0,,,,,0.72019536,6,4,9,1.616,1.616,0,0,0,0,stim
25,1.958592,7.246952,2.133815813,4.148307857,2.62,3.93,1.31,2.62,0.131859764,5.575046277,0.93974934,0,0,0,0,0,,,,,0,2,1,8,7.582403049,7.582403049,0,0,0,0,stim
35,0.775276,3.349564,1.151623071,2.749655103,2.62,7.86,3.93,3.93,0.207317069,8.041795669,1.349774898,0.018035714,0,0.018035714,0,0,0,1,0,0,0.039277778,2,1,4,4.579656756,4.579656756,0,0,0,0,stim
42,0.448844,2.875066,1.465515275,3.55568248,3.93,18.34,10.48,7.86,0.242239475,10.84580229,2.640489981,0,0,0,0,0,,,,,0,3,3,9,11.35699978,11.35699978,0,0,0,0,stim
49,0.979296,4.976674,2.012586435,4.86909066,2.62,3.93,1.31,2.62,0.165142253,6.29277541,0.752735071,0,0,0,0,0,,,,,0,3,1,8,3.88554758,3.88554758,0,0,0,0,stim
51,0.61206,3.010406,1.17827396,4.271842748,2.62,5.24,2.62,2.62,0.120325215,7.700121948,0.843122033,0,0,0,0,0,,,,,0,3,2,2,5.173724384,5.173724384,0,0,0,0,stim
56,0.61206,2.702962,0.949895911,4.621655919,3.93,6.55,2.62,3.93,0.134146333,8.708020002,1.882986983,0,0,0,0,0,,,,,0,3,2,3,5.213009112,5.213009112,0,0,0,0,stim
59,0.530452,2.479146,0.922036794,3.236591148,3.93,6.55,1.31,5.24,0.177298293,8.864087407,2.746686542,0,0,0,0,0,,,,,0,1,1,4,12.928,12.928,0,0,0,0,stim
75,0.61206,2.55429,0.848274759,4.600843198,3.93,3.93,1.31,2.62,0.140243918,7.654147311,1.705902256,0,0,0,0,0,,,,,0,3,3,8,21.75606582,21.75606582,0,0,0,0,stim
79,0.40804,2.101608,0.861372144,3.793910035,2.62,3.93,1.31,2.62,0.16036585,6.868970143,1.208853557,0,0,0,0,0,,,,,0,1,1,7,9.159313511,9.159313511,0,0,0,0,stim
81,0.367236,1.817596,0.715878969,5.643916114,3.93,6.55,1.31,5.24,0.136178851,10.66793337,2.442528692,0,0,0,0,0,,,,,0,4,2,8,16.91260004,16.91260004,0,0,0,0,stim
92,0.40804,1.742452,0.592119064,3.010613314,2.62,5.24,2.62,2.62,0.14268294,4.322818076,0.94541761,0,0,0,0,0,,,,,0,3,1,5,3.901267999,3.901267999,0,0,0,0,stim
94,0.367236,1.911122,0.791446771,5.667435496,1.31,3.93,1.31,3.93,0.154471532,8.888993331,1.21368815,0,0,0,0,0,,,,,0,2,1,3,3.439936046,3.439936046,0,0,0,0,stim
1,46.9246,93.798498,14.9204295,4.545751415,5.24,7.86,2.62,5.24,0.377868801,12.73571235,2.194410475,8.27420184,3.365195631,0,2.578278395,2.330727814,0.406709396,0,0.311604484,0.28168612,8.944940194,6,1,9,0.949798271,0,0,0,0,0,stim
6,7.263112,29.31727,9.417040717,5.324192832,5.24,5.24,1.31,2.62,0.407817125,19.45065581,2.724649912,0,0,0,0,0,,,,,0,1,1,2,7.718409163,7.718409163,0,0,0,0,stim
9,3.87638,15.499662,4.931831692,3.818416674,3.93,9.17,1.31,7.86,0.357381225,18.07173929,5.825529277,0.013573123,0,0,0,0.013573123,0,0,0,1,0.13391207,5,3,4,0,0,0,0,0,0,stim
11,2.366632,11.426736,4.390396979,2.613157421,5.24,23.58,14.41,9.17,0.596719921,12.05783537,2.39799121,0.612207945,0,0.545711051,0,0.066496894,0,0.89138185,0,0.10861815,0.222937112,14,2,4,3.788568117,3.70822707,0.057880748,0.078848825,0,0,stim
14,2.529848,12.3624,4.807300726,3.327916528,3.93,3.93,1.31,2.62,0.163355619,5.384725005,1.449878216,0,0,0,0,0,,,,,0,7,1,1,6.419660427,6.419660427,0,0,0,0,stim
20,1.142512,6.379968,2.835086844,3.802852275,5.24,10.48,7.86,2.62,0.402003437,13.12085742,0.605192206,0.23245303,0.124566667,0,0.107886364,0,0.535878868,0,0.464121132,0,0.076821212,1,1,7,2.892199855,2.892199855,0,0.126945322,0,0,stim
23,0.81608,3.955968,1.526029543,3.428870454,7.86,37.99,10.48,27.51,1.144207239,24.49664099,61.73006525,0.0202,0,0.0202,0,0,0,1,0,0,0.173434343,8,6,4,4.491063529,4.44858854,0.086558007,0.140691207,0,0,stim
26,1.22412,4.40865,1.263506225,2.341014416,2.62,6.55,1.31,5.24,0.419715434,6.790564968,2.511797996,0,0,0,0,0,,,,,0,1,1,9,2.472725309,2.02,0.445090032,0.016484816,0,0,stim
28,1.22412,7.171808,3.343670326,2.222283227,7.86,18.34,11.79,6.55,1.340243816,16.04628205,3.165029506,0.246728571,0.1717,0,0,0.075028571,0.695906433,0,0,0.304093567,0.086238462,6,3,8,3.680327938,3.573744815,0.030102225,0,0,0,stim
29,4.48844,21.20798,7.97431381,3.092709921,3.93,6.55,3.93,2.62,0.182261631,6.169337565,0.810754085,2.427747707,0,0.020464948,2.407282759,0,0,0.008429602,0.991570398,0,0.328428235,6,3,5,0.0505,0,0,0,0,0,stim
33,1.550552,7.153426,2.626225284,3.948562029,2.62,3.93,1.31,2.62,0.180198953,6.41576237,0.792507811,0,0,0,0,0,,,,,0,1,1,1,1.628576065,1.628576065,0,0,0,0,stim
34,0.693668,3.937586,1.778683106,2.830970972,2.62,6.55,3.93,2.62,0.175394565,6.974630854,0.915075397,0,0,0,0,0,,,,,0,3,3,1,2.222,2.222,0,0,0,0,stim
37,1.101708,5.73175,2.373002044,3.029868025,3.93,7.86,3.93,3.93,0.228093937,7.846176374,1.827323068,0,0,0,0,0,,,,,0,7,5,1,5.889261414,5.889261414,0,0,0,0,stim
38,0.61206,3.08555,1.237830886,3.370561435,2.62,17.03,6.55,10.48,0.14268294,4.715791759,3.587771876,0,0,0,0,0,,,,,0,7,6,3,4.767371183,4.767371183,0,0,0,0,stim
41,0.938492,4.203216,1.498038512,2.856991371,2.62,5.24,1.31,3.93,0.191675514,3.80033066,0.865268241,0,0,0,0,0,,,,,0,12,7,1,3.757417198,3.757417198,0,0,0,0,stim
43,0.81608,4.502176,1.976525121,3.245907592,2.62,10.48,7.86,2.62,0.289939016,6.556530238,1.110774271,0.12625,0.12625,0,0,0,1,0,0,0,0.067333333,10,7,4,3.554417058,3.439936046,0.112136784,0.014477244,0,0,stim
46,0.652864,3.010406,1.104631838,7.287728515,3.93,3.93,1.31,2.62,0.271341473,16.70743394,1.521433381,0,0,0,0,0,,,,,0,1,1,3,3.361950029,3.361950029,0,0,0,0,stim
57,1.0201,4.502176,1.581220097,3.656481798,2.62,3.93,1.31,2.62,0.108048774,4.3624407,1.118608682,0,0,0,0,0,,,,,0,4,4,2,1.616,1.616,0,0,0,0,stim
58,0.61206,2.591054,0.872868993,4.228803157,2.62,3.93,1.31,2.62,0.146747962,6.65719677,0.842771214,0.179555556,0,0.179555556,0,0,0,1,0,0,0.016833333,2,1,2,1.806742926,1.806742926,0,0.065939264,0,0,stim
61,0.734472,2.54924,0.704103237,7.28828536,2.62,3.93,1.31,2.62,0.324186981,13.53108013,0.990600912,0.1111,0,0,0.1111,0,0,0,1,0,0,4,3,8,6.576643521,6.576643521,0,0.00804388,0,0,stim
64,0.448844,2.78154,1.371719559,2.619827396,3.93,9.17,3.93,5.24,0.441796005,7.857756033,2.546705581,0,0,0,0,0,,,,,0,2,1,3,3.859204581,3.859204581,0,0,0,0,stim
65,0.734472,5.018488,2.728730669,3.267810479,2.62,20.96,17.03,3.93,0.218495935,5.049388949,0.912565534,0,0,0,0,0,,,,,0,11,9,3,4.04,4.04,0,0,0,0,stim
72,0.448844,2.02303,0.725603482,3.402350299,3.93,9.17,6.55,2.62,0.244456753,7.751320465,1.426829838,0,0,0,0,0,,,,,0,6,5,2,3.193900437,3.193900437,0.025295678,0.010828121,0,0,stim
78,0.489648,2.02303,0.665136525,5.427760529,3.93,6.55,2.62,3.93,0.21290651,10.36832603,1.744079556,0,0,0,0,0,,,,,0,1,1,1,0.903371463,0.903371463,0,0,0,0,stim
84,0.40804,1.817596,0.644291072,3.805249511,2.62,5.24,2.62,2.62,0.215853661,7.146838491,0.810151086,0,0,0,0,0,,,,,0,1,1,5,2.02,2.02,0,0,0,0,stim
86,0.61206,3.252604,1.375493434,3.099766163,2.62,3.93,1.31,2.62,0.173983753,3.991826549,1.102755738,0,0,0,0,0,,,,,0,10,9,2,3.641606788,3.641606788,0,0,0,0,stim
88,0.530452,2.953644,1.308760994,3.901778095,2.62,3.93,1.31,2.62,0.143996239,5.850070789,1.26247056,0,0,0,0,0,,,,,0,4,4,3,1.628576065,1.628576065,0,0,0,0,stim
97,0.367236,1.85436,0.745131613,4.711765364,2.62,6.55,2.62,3.93,0.372628748,8.319461702,1.130642572,0,0,0,0,0,,,,,0,8,4,3,3.859204581,3.859204581,0,0,0,0,stim
4,11.669944,35.398076,8.544382437,3.485717506,5.24,7.86,2.62,5.24,0.31039995,9.761116782,2.359697639,0.026730861,0.0143557,0.012375161,0,0,0.537045921,0.462954079,0,0,0.318395465,16,1,4,0,0,0,0,0,0,stim
13,3.794772,15.26918,4.889178329,2.843546678,3.93,10.48,2.62,6.55,0.170797259,7.217416956,1.782935618,0.368836358,0,0.064675439,0,0.30416092,0,0.175349954,0,0.824650046,0.100702742,12,2,5,2.432402105,2.432402105,0.057240412,0.401176803,0,0,stim
16,1.876984,8.570052,3.113841336,3.089910921,2.62,11.79,2.62,9.17,0.422189832,13.36338134,7.27717635,1.710587302,0.418428571,0,0,1.29215873,0.244611059,0,0,0.755388941,0.09989011,2,1,3,1.569088924,1.414,0.189771013,0.036555831,0,0,stim
22,2.937888,13.053846,4.615639384,2.840538887,3.93,6.55,1.31,5.24,0.286500692,9.519560002,2.730474688,2.595901283,0,1.762909091,0.797081081,0.035911111,0,0.679112531,0.307053695,0.013833774,0,8,4,3,3.468448128,3.155340869,0,0,0,0,stim
24,1.101708,5.99738,2.598045586,4.366959435,2.62,5.24,2.62,2.62,0.20234865,7.933757619,0.74252521,0.457025,0.113625,0,0,0.3434,0.248618785,0,0,0.751381215,0,6,3,4,3.428053675,3.428053675,0.007437238,0.072084305,0,0,stim
27,1.509748,6.239578,2.052088607,5.027108618,2.62,6.55,2.62,3.93,0.395847023,10.3437047,1.041772053,0.003107692,0,0,0,0.003107692,0,0,0,1,0.131566615,2,1,7,0,0,0,0,0,0,stim
30,0.979296,4.826386,1.8928677,4.632315356,3.93,6.55,2.62,3.93,0.195376009,11.4059626,1.708904432,0,0,0,0,0,,,,,0,4,2,1,3.641606788,3.641606788,0,0,0,0,stim
36,0.979296,4.864766,1.923092019,4.954298841,3.93,9.17,1.31,7.86,0.383130103,15.56559639,5.270664534,0.228955195,0,0.130840909,0.098114286,0,0,0.571469493,0.428530507,0,0,6,2,2,1.555222282,1.538386167,0.016593936,0.031099384,0,0,stim
45,1.83618,8.8375,3.384805647,4.082924319,3.93,5.24,1.31,3.93,0.163143635,7.856394195,2.037693919,0,0,0,0,0,,,,,0,9,4,3,4.09018826,4.09018826,0,0,0,0,stim
60,1.754572,10.74337,5.234798961,3.130464614,3.93,5.24,2.62,2.62,0.145490617,6.140347374,0.642896917,1.298571429,0.538666667,0,0,0.759904762,0.414814815,0,0,0.585185185,0,12,6,2,3.002945887,3.002945887,0,0,0,0,stim
68,0.489648,2.935262,1.400231668,3.171008776,2.62,40.61,37.99,2.62,0.236788645,6.53048772,0.761246522,0,0,0,0,0,,,,,0,3,3,4,1.177852283,1.177852283,0,0,0,0,stim
